,gen,fitness,fitness_std,fitness_max,fitness_min
0,0,0.7114886731391585,0.03810797338296814,0.7509613554159528,0.6556824671616219
1,1,0.7383266704740148,0.02597827356612439,0.7509613554159528,0.6615077098800686
2,2,0.7486312583285741,0.0038640288819674525,0.7509613554159528,0.7393108699790596
3,3,0.7503788311441081,0.0008898205232923855,0.7509613554159528,0.7490196078431373
4,4,0.7509613554159528,0.0,0.7509613554159528,0.7509613554159528
5,5,0.7509613554159528,0.0,0.7509613554159528,0.7509613554159528
6,6,0.7511555301732343,0.0005825242718446533,0.7529031029887683,0.7509613554159528
7,7,0.7513497049305159,0.0007766990291262043,0.7529031029887683,0.7509613554159528
8,8,0.7519322292023606,0.0009708737864077555,0.7529031029887683,0.7509613554159528
9,9,0.7519322292023606,0.0009708737864077555,0.7529031029887683,0.7509613554159528
10,10,0.7523205787169237,0.0008898205232923856,0.7529031029887683,0.7509613554159528
